Stock,Statistic,P_{value}
AC,5.639216160642846,0.059629308029212444
ACCELSAB,6878.182016715676,0.0
ACTINVRB,13.651812209811506,0.0010852921073000895
AGRO22,278.6319117584547,3.1321973700783054e-61
AGUA,128.48522720216278,1.2583093103674108e-28
ALEATIC,337.4134536924835,5.390132867276056e-74
ALFAA,326.02484193242566,1.6017882099255597e-71
ALPEKA,13.50052866441568,0.0011705701604978584
ALSEA,1297.21256922435,2.0600115964820995e-282
ALTERNAB,8.926108038048197,0.011527105476442104
AMXB,186.20823592085853,3.6761678052646947e-41
ANB,388.8837859234059,3.5888791626490267e-85
ANGELD10,203.5452542037939,6.319891768881226e-45
ARA,412.0577301822069,3.332734967161781e-90
ARISTOSA,639.3825944409832,1.4448864045133978e-139
ASURB,538.1073357047622,1.4173487201443182e-117
AUTLANB,798.8863126005467,3.342268876444605e-174
AXTELCPO,385.21853833522346,2.2431444277188184e-84
BACHOCOB,2039.829553589534,0.0
BAFARB,1120.7783084608343,4.227490100641506e-244
BBAJIOO,47.32266130600368,5.296813270111707e-11
BBVA,23.930116761586497,6.36269593807749e-06
BEVIDESA,140.6117063906559,2.927897789369257e-31
BEVIDESB,146.57323404921337,1.4860267555329789e-32
BIMBOA,926.5034714221151,6.491236742046306e-202
BOLSAA,202.53745261380448,1.0460464635078543e-44
CABLECPO,17448.7784909899,0.0
CADUA,9397.683563319437,0.0
CEMEXCPO,527.6128368530598,2.6935695057132887e-115
CERAMICB,182.08310668714074,2.891716805786718e-40
CHDRAUIB,1718.9073304455874,0.0
CHNTRAC11,739.1426184997601,3.142097976401751e-161
CIDMEGA,10604.085101767645,0.0
CIEB,820.7329854389855,6.026937029874553e-179
CMOCTEZ,1742.1633145217,0.0
CMRB,288.3929295833977,2.3783240689471108e-63
COLLADO,458.9118798804945,2.231266494825372e-100
CONVERA,193.15281381599746,1.1412988977030513e-42
COXA,66.65338504008636,3.360480181306781e-15
CTAXTELA,5.357822246660575,0.06863785163402947
CUERVO,18774.984765477297,0.0
CULTIBAB,240.23478016874444,6.818365935946815e-53
CYDSASAA,791.1885053716563,1.568913449124827e-172
DANHOS13,216.02912327251735,1.2299059886378164e-47
DIABLOI10,332.2576381715868,7.098565367906144e-73
DINEA,483.72466808917807,9.131096744786927e-106
DINEB,460.27341936121707,1.1295277429730011e-100
EDUCA18,10879.216835336685,0.0
ELEKTRA,3396.735421385006,0.0
ESGMEXISHRS,68.52861669562695,1.3158305287923912e-15
FCFE18,1482.650530913449,0.0
FEMSAUB,354.3678223730487,1.1220316037255991e-77
FEMSAUBD,314.7921924138257,4.402951932282853e-69
FEXI21,53.8766483021269,1.9990997712740587e-12
FHIPO14,407.91095816402935,2.6500915708937948e-89
FIBRAHD15,13411.766513237408,0.0
FIBRAMQ12,275.39960761976454,1.5766490962725722e-60
FIBRAPL14,129.99351786285834,5.919244161948316e-29
FIBRATC14,22.796866709656975,1.121303794101062e-05
FIBRAUP18,453.84578806882064,2.8095664185733978e-99
FIDEAL20,5445.407996029301,0.0
FIHO12,265.9722134021369,1.7573881349655582e-58
FINAMEXO,241.33505184374934,3.933320605111785e-53
FINDEP,1049.6140081090955,1.2000907129894004e-228
FINN13,2460.65969346641,0.0
FMTY14,98.7133077690495,3.670097253637997e-22
FMX23,75.51199004493395,4.006634284888872e-17
FNOVA17,1034.3931163423017,2.4231970237755184e-225
FPLUS16,818.7604574319711,1.6159416260530926e-178
FRAGUAB,633.7281362401995,2.4416516427557752e-138
FRES,313.2134724249232,9.695241558131524e-69
FSHOP13,40744.77927494809,0.0
FSITES20,183.23280665449562,1.6274272481664664e-40
FUNO11,1016.25811126886,2.100656504899245e-221
FVIA16,706.4072274299542,4.0329197046350924e-154
GAPB,277.75095600563105,4.865710118922859e-61
GAVA,826.9527903795882,2.6883336726683115e-180
GBMO,325.59392211647423,1.9869097540403347e-71
GCARSOA1,59.80023897424144,1.0340537132650446e-13
GCC,2586.943725497026,0.0
GENIUS21,111.95287775102294,4.894873580215978e-25
GENTERA,174.17822010005665,1.5054976134919664e-38
GFINBURO,142.40772713875128,1.1927652053045635e-31
GFMULTIO,342.80918229129384,3.63021120182983e-75
GFNORTEO,155.09208090554654,2.09982227254044e-34
GICSAB,2408.6109164335635,0.0
GIGANTE,5123.53393034333,0.0
GISSAA,206.71703218365457,1.2940969201223938e-45
GMD,428.64247251831705,8.345833917190618e-94
GMEXICOB,550.0974395854917,3.5306831055351844e-120
GMXT,182.49798962370585,2.3499849124675898e-40
GNP,642.3949432985179,3.2041324583449494e-140
GPH1,579.8921762774024,1.1967787573600835e-126
GPROFUT,17254.59972174884,0.0
GRUMAB,14366.754459345864,0.0
GSANBORB-1,30.776500229038017,2.0747601080881353e-07
HCITY,17564.123364958756,0.0
HERDEZ,359.02767924583,1.0917671594283995e-78
HOMEX,713.692795529144,1.0557924786107427e-155
HOTEL,13928.16025101005,0.0
